ad_id,campaign_id,headline_text,body_text,call_to_action,platform,placement,ad_format,category,impressions,clicks,conversions,spend,ctr,cvr,cpc,cpa,high_performer
enriched_ad_0013,campaign_048,It's Diabetes Awareness Month!,"Have Diabetes? Not Sure?
Paths to Health
Tools for Healthier Living
NMDOH",,,,image,healthcare,63167,935,53,980.37,0.014802032706951414,0.05668449197860963,1.048524064171123,18.49754716981132,0
enriched_ad_0014,campaign_001,WALSER - AUTO CAMPUS Wichita,We will buy your car. It's that simple.,Shop Now,,,image,automotive,26808,306,7,374.41,0.011414503133393017,0.02287581699346405,1.2235620915032681,53.487142857142864,0
enriched_ad_0015,campaign_002,WALSER AUTO CAMPUS,Wichita WE'LL BUY YOUR CAR. IT'S THAT SIMPLE Learn More,,,,image,automotive,74505,969,35,1719.52,0.013005838534326556,0.03611971104231166,1.77453044375645,49.12914285714286,0
enriched_ad_0016,campaign_035,More Ways to Play Prairie Casino & Resort,,,,,video,entertainment,96403,2663,466,764.87,0.027623621671524747,0.17499061209162597,0.2872211791212918,1.641351931330472,1
enriched_ad_0017,campaign_039,More Ways to Play Prairie Band Casino & Resort,,,,,video,ecommerce,70972,1359,109,921.19,0.01914839655075241,0.08020603384841796,0.6778440029433407,8.451284403669725,0
enriched_ad_0018,campaign_041,2022 IDAHO SHAKESPEARE FESTIVAL - SEASON TICKETS ON SALE NOW!,Give the gift of great theater in the Great Outdoors! BUY ONLINE,BUY ONLINE,,,image,entertainment,89186,1721,231,505.65,0.019296750611082457,0.13422428820453225,0.29381173736199884,2.1889610389610388,0
enriched_ad_0019,campaign_042,Your Hometown Healers,DOCTOR OWNED & OPERATED The Women's Clinic of Northern Colorado Schedule an appointment today!,,,,image,healthcare,59095,958,52,1217.92,0.01621118537947373,0.054279749478079335,1.2713152400835075,23.421538461538464,0
enriched_ad_0020,campaign_045,Texas MBA,,,,,image,education,24079,423,38,195.56,0.017567174716557995,0.08983451536643026,0.46231678486997635,5.146315789473684,0
enriched_ad_0021,campaign_037,Introducing,,,,,image,,85682,1700,88,1210.88,0.019840806703858453,0.05176470588235294,0.7122823529411766,13.760000000000002,0
enriched_ad_0022,campaign_009,NEWSCARTUCSON Holiday SIGN UP GIVEAWAY,Stetson Painting Residential Commercial Fleet Feet Tucson McGuire's Jewelers Fine Jewelry Since 1947 Sun Lighting,,,,image,"ecommerce, saas, education, healthcare, finance, entertainment, travel, food, automotive, real_estate",84216,1470,76,1473.82,0.017455115417497863,0.05170068027210884,1.0025986394557822,19.39236842105263,0
enriched_ad_0023,campaign_009,The LinnStrumentalists,,Watch the video,,,video,,71561,1894,160,1028.1,0.026466930311203028,0.08447729672650475,0.542819429778247,6.425624999999999,1
enriched_ad_0024,campaign_044,"FREE INSPECTIONS","& ESTIMATES! Since 1937 D /ROOFING 903-465-7677 WWW.LANKFORDROOFING.COM",Learn More,facebook,,image,ecommerce,77182,997,50,1155.67,0.012917519628929026,0.05015045135406219,1.159147442326981,23.113400000000002,0
enriched_ad_0025,campaign_026,Shepherd's Heart TOYS,,Donate Here,,,image,ecommerce,68231,939,67,814.35,0.013762072958039601,0.07135250266240682,0.8672523961661343,12.1544776119403,0
enriched_ad_0026,campaign_048,Toys From The Heart,,Donate Here,,,image,entertainment,90076,2329,331,720.93,0.025855943869621208,0.14212108200944612,0.3095448690425075,2.178036253776435,1
enriched_ad_0027,campaign_043,Shop HMI Fireplaces,,,,,image,ecommerce,35904,447,37,526.75,0.012449866310160427,0.08277404921700224,1.1784116331096197,14.236486486486486,0
enriched_ad_0028,campaign_040,Meridian - BUILD Locally IMPACT Globally,"November 17-18, 2021
Stellar Register Now",Register Now,,,image,ecommerce,46530,794,50,555.11,0.017064259617451106,0.06297229219143577,0.6991309823677582,11.1022,0
enriched_ad_0029,campaign_019,Grammarly - Be Best English Writer You Can Be!,Get Grammarly. It's free! The best way to improve your writing skills and become the best English writer you can.,,,,image,education,66547,1397,156,524.33,0.020992681863945782,0.11166785969935576,0.3753256979241231,3.3610897435897438,1
enriched_ad_0030,campaign_037,"Horizon - Easier, Faster CRISPR-Cas9 Gene Editing",a PerkinElmer company. All-in-One Lentiviral sgRNA Vector.,Learn more,,,image,education,71244,1037,115,751.42,0.014555611700634439,0.11089681774349083,0.724609450337512,6.5340869565217385,0
enriched_ad_0031,campaign_042,Runner Roof Racks Accessories Adventure Gear,,,,,image,ecommerce,99804,1980,175,1157.86,0.019838884213057593,0.08838383838383838,0.5847777777777777,6.616342857142857,0
enriched_ad_0032,campaign_027,"Si tu carro termina en 8,9",,,,,image,entertainment,92086,2064,212,595.61,0.02241383054970354,0.10271317829457365,0.2885707364341085,2.809481132075472,1
enriched_ad_0033,campaign_011,Si la placa de tu carro termina en 809,Es tu mes para matricular tu carro iP n INDUSO DE LA PROD.,,,,image,entertainment,76059,1977,326,387.37,0.025992979134619176,0.16489630753667173,0.19593829033889731,1.1882515337423314,1
enriched_ad_0034,campaign_032,Lo eLegacy,THE LARS LARSON SHOW Lars recommends eLegacy Law Full service estate planning from the comfort of your own home with flat rate pricing - No Surprises! Lars Special Rate,,,,image,ecommerce,72456,1240,79,1209.05,0.01711383460306945,0.06370967741935483,0.9750403225806451,15.304430379746835,0
enriched_ad_0035,campaign_021,FINESTRE DA TETTO,AVVOLGI DI LUCE I TUOI SPAZI Pour FAKRO,,,,image,,74094,918,50,1223.64,0.012389667179528706,0.054466230936819175,1.3329411764705883,24.472800000000003,0
enriched_ad_0036,campaign_034,Middleten Valle MA Tri-States Best!,Thank you for voting MVB as one of the Tri-States Best! Middletown Valley Bank is an FDIC-insured community heritage financial institution.,,,,image,finance,96950,1324,42,2616.77,0.013656523981433728,0.03172205438066465,1.9764123867069485,62.304047619047616,0
enriched_ad_0037,campaign_033,The Podcast,A guided journey to coming to know the prophet. Brought to you by LDSLiving Learn More,,,,image,education,59172,1160,110,541.69,0.019603866693706482,0.09482758620689655,0.46697413793103454,4.924454545454546,0
enriched_ad_0038,campaign_005,Shine,"Leave the toilet, Cleaning to the robots. Shine.",,,,image,ecommerce,69404,1130,111,833.96,0.016281482335312087,0.09823008849557523,0.7380176991150443,7.513153153153153,0
enriched_ad_0039,campaign_012,Leaf Guard,"Get it. And forget it.
At LeafGuard®, we are dedicated to ensuring your home is protected year round, which is why we offer a no-clog guarantee. If your LeafGuard® gutter ever clogs, we will come out to clean at no cost to you.",LEARN MORE,,,image,ecommerce,24515,329,23,308.33,0.01342035488476443,0.06990881458966565,0.9371732522796352,13.405652173913042,0
enriched_ad_0040,campaign_034,OUR BEST OFFERS OF THE SEASON!,"NOW THROUGH DECEMBER 10, 2021
300 Mbps Internet
$36.99
miapelka nced spands ray வு
GETA $100
VISA GIFT CARD
RCN
INTERNET-TV-PANE",,,,image,ecommerce,90199,1524,155,1044.79,0.016895974456479564,0.10170603674540682,0.6855577427821522,6.74058064516129,0
enriched_ad_0041,campaign_001,FENDER PLAYER PLUS,,SHOP NOW,,,video,entertainment,61231,1527,263,302.2,0.024938348222305694,0.17223313686967912,0.19790438768827767,1.1490494296577947,1
enriched_ad_0042,campaign_034,D.I.Y. PLUMBING,NOT WORKING OUT? WE CLEAN YOUR LINE FOR $149 license # M6397 S H₂O Maestro Plumbing A Fayette Heating & Air Company THE OFFICIAL PLUMBING COMPANY OF UK ATHLETICS K,,,,image,ecommerce,20026,360,29,334.12,0.017976630380505343,0.08055555555555556,0.9281111111111111,11.521379310344829,0
enriched_ad_0043,campaign_027,June UP TO 50% OFF,,Shop Now,,,image,ecommerce,64519,1300,122,1014.45,0.02014910336490026,0.09384615384615384,0.7803461538461539,8.31516393442623,1
enriched_ad_0044,campaign_049,Great Events Have No Boundaries When In-Person and Virtual Become One,,REQUEST A DEMO,,,video,ecommerce,75209,1618,147,1342.31,0.021513382706856893,0.09085290482076638,0.8296106304079109,9.131360544217687,1
enriched_ad_0045,campaign_010,Connect Health - Certified Colorado Health Insurance,Enroll now to get health insurance in Boulder County. Have questions? We can help.,ENROLL NOW,,,image,healthcare,71195,1109,61,1205.43,0.015576936582625184,0.05500450856627592,1.0869522091974753,19.761147540983607,0
enriched_ad_0046,campaign_040,Celebrate 150 Years of History,in this new exhibit at the Longmont Museum.,,,,image,education,73117,1314,170,763.76,0.017971196848886033,0.1293759512937595,0.581248097412481,4.492705882352941,0
enriched_ad_0047,campaign_031,SRS STERLING - FORTRESS TABLEWARE SOLUTIONS™,A FORTESSA Tableware Solutions Company located in One Loudoun. Contact us at (866) 612-1777 for more details.,,,,image,ecommerce,96014,1045,62,941.7,0.010883829441539775,0.05933014354066986,0.9011483253588517,15.188709677419356,0
enriched_ad_0048,campaign_026,TOP NOTCH Computers & Repairs,Computers & Repairs. Commercial Technology Services Expert Computer Repairs and Network Services Data & Disaster Recovery Services • Business & Medical IT Consulting Residential Computer Help Cybersecurity Solutions Local to NoVA CONTACT US < < < ,,,,image,"ecommerce, saas",29165,399,19,442.71,0.013680781758957655,0.047619047619047616,1.1095488721804512,23.300526315789472,0
enriched_ad_0049,campaign_008,Bank of Clarke County,Help TOGETHER Visit our website to learn. Moke and Donate at www.bankofclarke.bank FDIC #GIVEWITHBOCC,,,,image,finance,96225,1184,32,2075.65,0.012304494673941284,0.02702702702702703,1.7530827702702703,64.8640625,0
enriched_ad_0050,campaign_043,Purposeful Living,"Independent Living, Assisted Living, Inspiritás - Memory Care at Ashleigh in Lansdowne™, Call (703) 345-6912 for a tour.",,,,image,ecommerce,42334,878,55,619.2,0.020739830868805216,0.06264236902050115,0.705239179954442,11.25818181818182,1
enriched_ad_0051,campaign_005,TOP NOTCH Computers & Repairs,Computers & Repairs. Commercial Technology Services • Expert Computer Repairs and Network Services • Data & Disaster Recovery Services • Business & Medical IT Consulting • Residential Computer Help Cybersecurity Solutions Local to NoVA,,,,image,"ecommerce, saas, education, healthcare, finance, entertainment, travel, food, automotive, real_estate",91784,1003,51,1218.09,0.010927830558703042,0.05084745762711865,1.2144466600199402,23.884117647058822,0
enriched_ad_0052,campaign_036,Practicam Al-Powered Social Media,Marketing for Dentists. Create your free account.,,,,image,ecommerce,38293,677,40,393.25,0.017679471443867025,0.059084194977843424,0.5808714918759232,9.83125,0
enriched_ad_0053,campaign_011,Fall Deals at Herbein's Garden Center,Rake in the Fall deals at Herbein's Garden Center. Visit us for exclusive discounts and offers.,CLICK HERE,,,image,ecommerce,47087,939,78,605.26,0.01994180984135749,0.08306709265175719,0.6445793397231097,7.759743589743589,0
enriched_ad_0054,campaign_006,Historic Turkey Trot,5K Run/Walk & Fun Walk - Nov. 27 REGISTER TODAY Historic Bethlehem MUSEUMS & SITES,,,,image,entertainment,44229,622,64,280.72,0.014063171222501074,0.10289389067524116,0.45131832797427657,4.38625,0
enriched_ad_0055,campaign_048,Historic Turkey Trot,"5K Run/Walk & Fun Walk SATURDAY, NOVEMBER 27 REGISTER TODAY #Historic Bethlehem MUSEUMS & SITES",,,,image,entertainment,51810,1392,126,390.71,0.02686740011580776,0.09051724137931035,0.2806824712643678,3.100873015873016,1
enriched_ad_0056,campaign_033,The Hot Dog King,"OCCO'S V SKICE Celebrating 99 Years! Quality You Can Trust Since 1923 Click here for full menu, hours & special offers",,,,image,food,37201,585,51,503.36,0.015725383726243918,0.08717948717948718,0.8604444444444445,9.869803921568627,0
enriched_ad_0057,campaign_043,GO HIKING,Lule Waymaker Rodeo Lilicl Th,,,,image,,24069,313,15,256.21,0.013004279363496614,0.04792332268370607,0.8185623003194887,17.080666666666666,0
enriched_ad_0058,campaign_031,"Me. Lasting Weight Loss","Download on the App Store GET IT ON Google Play",Learn More,facebook,,video,ecommerce,91546,1924,176,1335.39,0.021016756603237718,0.09147609147609148,0.6940696465696466,7.587443181818182,1
enriched_ad_0059,campaign_033,J.me Black,,Shop Now,,,image,ecommerce,37576,747,65,450.9,0.019879710453480946,0.08701472556894244,0.6036144578313253,6.936923076923077,0
enriched_ad_0060,campaign_029,Make Macomb Schools your Home,"For more information about Macomb Schools, go to www.misd.net",,,,image,education,99364,1374,203,1131.13,0.013827945734873797,0.1477438136826783,0.8232387190684135,5.572068965517242,0
enriched_ad_0061,campaign_030,Wholetale Outlet,Your go-to store for the Greatest Values. Browse our weekly features.,,,,image,ecommerce,30407,436,43,377.25,0.014338803564968593,0.09862385321100918,0.8652522935779816,8.773255813953488,0
enriched_ad_0062,campaign_039,Foodless,"Shop Today! Natural Foods | Organic Selections Supplements
2230 Biddle Rd, Medford | Open 24/7",SHOP TODAY!,,,image,food,57447,1499,99,700.44,0.026093616724981287,0.06604402935290193,0.4672715143428953,7.075151515151516,1
enriched_ad_0063,campaign_038,FOOD 4 LESS,Shop Today! Natural Foods Organic Selections Supplements,,,,image,food,41807,1056,82,625.3,0.025258927930729303,0.07765151515151515,0.5921401515151514,7.62560975609756,1
enriched_ad_0064,campaign_010,HOLLYWOOD BODY JEWELRY,TI-6AL4V-ELI ASTM F-136 Grade 23 IMPLANT GRADE TITANIUM at the most competitive prices,SHOP NOW,,,image,ecommerce,59717,1176,71,797.23,0.019692884773180167,0.06037414965986394,0.6779166666666667,11.228591549295775,0
enriched_ad_0065,campaign_024,COUPON CODES AVAILABLE,Get Codes Capital One Shopping The Coupon-Finding Browser Extension I I,,,,image,ecommerce,57618,915,66,789.61,0.01588045402478392,0.07213114754098361,0.8629617486338798,11.96378787878788,0
enriched_ad_0066,campaign_007,Place Your Bets On The Next Slam Dunk,,Take Your Shot,,,image,entertainment,92528,1839,169,449.38,0.019875064845236035,0.09189777052746058,0.2443610657966286,2.65905325443787,0
enriched_ad_0067,campaign_028,GO BEYOND THE BET,Explore EXCLUSIVE & UNRIVALLED experiences at MAXIMBET. Play with me!,,,,video,entertainment,58468,1923,254,437.54,0.03288978586577273,0.13208528341133646,0.22752990119604785,1.7225984251968505,1
enriched_ad_0068,campaign_019,New Way to Bet,,Play Now,,,video,entertainment,54766,1780,326,481.97,0.032501917247927545,0.18314606741573033,0.27076966292134835,1.4784355828220859,1
enriched_ad_0069,campaign_033,Grow Stronger Together,,Join Now,,,image,ecommerce,63084,1140,61,905.19,0.01807114323758798,0.05350877192982456,0.7940263157894737,14.839180327868853,0
enriched_ad_0070,campaign_005,Grow Stronger Together,,Join Now,,,image,ecommerce,64784,777,47,633.61,0.011993702148678686,0.06048906048906049,0.8154568854568854,13.481063829787235,0
enriched_ad_0071,campaign_044,Complete Lung Cancer Care,Care in Queens at NewYork-Presbyterian on WEDNESDAY NOVEMBER 17 AT 5 PM.,CLICK HERE TO REGISTER Sign up now. Space is limited.,,,video,healthcare,86187,2025,141,1765.87,0.023495422743569215,0.06962962962962962,0.8720345679012345,12.523900709219857,1
enriched_ad_0072,campaign_010,GO Miami,Discover now,,,,image,,97991,1293,81,1445.23,0.01319508934493984,0.06264501160092807,1.1177339520494973,17.842345679012347,0
enriched_ad_0073,campaign_015,CAR SALE,NOVEMBER 8th - 19th Trades Accepted - Free Home Delivery RATES AS LOW AS 0.99% Up-to 36 Months Get Pre-Approved Online! dcfcu.org/carsale 305-471-5080 Dade County Federal,,,,image,ecommerce,76508,1040,103,1064.28,0.013593349715062477,0.09903846153846153,1.023346153846154,10.332815533980583,0
enriched_ad_0074,campaign_021,MARVEL INSIDER COULD BE YOURS!,WATCH AND READ FOR POINTS & REWARDS. JOIN NOW,JOIN NOW,,,video,entertainment,36882,772,112,199.81,0.020931619760316687,0.14507772020725387,0.2588212435233161,1.784017857142857,1
enriched_ad_0075,campaign_049,Discover Mic on Instagram,,@MIC Follow us to stay updated with the latest news and exclusive content!,instagram,,image,entertainment,90145,2194,312,692.91,0.024338565644239835,0.1422060164083865,0.315820419325433,2.2208653846153843,1
enriched_ad_0076,campaign_050,SHOP LOCAL GIVE LOCAL,"With XUMCU, learn more! Insured by NCUA.",Learn More!,,,image,ecommerce,76405,1557,98,930.33,0.020378247496891565,0.06294155427103404,0.597514450867052,9.493163265306123,1
enriched_ad_0077,campaign_015,Michigan Radio Connect,,,,,image,entertainment,52134,1259,209,379.8,0.024149307553611846,0.16600476568705322,0.3016679904686259,1.817224880382775,1
enriched_ad_0078,campaign_046,Need Enriched Samples?,Find out more applied biosystems by Thermo Fisher Scientific,,,,image,ecommerce,69796,1229,88,1118.47,0.017608458937474928,0.07160292921074043,0.9100650935720098,12.709886363636365,0
enriched_ad_0079,campaign_023,Innovative Materials,"Healthier Living, Brentwood Home - SHOP NOW CLIMATE NEUTRAL CERTIFIED",SHOP NOW,,,image,ecommerce,46801,572,57,652.16,0.012221961069207922,0.09965034965034965,1.14013986013986,11.441403508771929,0
enriched_ad_0080,campaign_020,Physician Career Center Job Board,Search 1000's of Physician Jobs Click Here,,,,image,ecommerce,48778,779,71,705.93,0.01597031448603879,0.09114249037227215,0.9062002567394094,9.942676056338028,0
enriched_ad_0081,campaign_007,Community New Digital,,,,,image,ecommerce,50797,730,36,683.0,0.014370927416973444,0.049315068493150684,0.9356164383561644,18.97222222222222,0
enriched_ad_0082,campaign_018,When Art Meets Science,The Creative Possibilities Are Endless,Learn More,,,image,ecommerce,27020,428,40,372.02,0.015840118430792006,0.09345794392523364,0.8692056074766354,9.3005,0
enriched_ad_0083,campaign_017,Buy for your characters,,BUY NOW,,,image,entertainment,89004,1252,144,585.65,0.014066783515347625,0.11501597444089456,0.46777156549520765,4.067013888888889,0
enriched_ad_0084,campaign_008,Heebs - Fresh Market,Food Raiser! Donate and we will purchase the same food AND MORE at our cost!,LEARN MORE ► CAN THE GRIZ FOOD DRIVE?,,,image,food,78421,2026,126,1044.57,0.02583491666772931,0.06219151036525173,0.5155824284304047,8.290238095238095,1
enriched_ad_0085,campaign_042,$140 Prize Value!,Enter for a chance to win the Bread Baking Giveaway MOUS KAPHYSI BREAD + MORE PRIZES! Enter Now,ENTER NOW,,,image,ecommerce,51865,777,71,595.06,0.014981201195411164,0.09137709137709138,0.7658429858429858,8.38112676056338,0
enriched_ad_0086,campaign_024,ULTIMATE RIDE,*Restrictions apply. See our website for the complete promotional offer.* SPECIAL OFFERS AVAILABLE ON KTM 200 DUKE MOTORCYCLES KIM,,,,image,ecommerce,78619,1500,84,1167.87,0.019079357407242523,0.056,0.7785799999999999,13.903214285714284,0
enriched_ad_0087,campaign_009,PLAY The World’s Best Courses,MORE Than 100 Interactive Experiences GOLF All Year Round FULL SWING OFFICALLY UCENSED GOLF WATCH THE VIDEO Official ALATOR,,,,video,education,58046,983,124,531.3,0.016934844778279296,0.12614445574771108,0.5404883011190234,4.284677419354838,0
enriched_ad_0088,campaign_013,We're a non-profit sustained by donations of about $25.,"If everyone reading right now gave $7, our fundraising would be done in under an hour. DONATE TODAY →",DONATE TODAY,,,image,ecommerce,71776,1230,117,716.3,0.01713664734730272,0.0951219512195122,0.5823577235772357,6.122222222222222,0
enriched_ad_0089,campaign_022,DONATE TODAY,,Donate Today,,,image,ecommerce,29581,557,52,304.08,0.018829654169906358,0.0933572710951526,0.5459245960502692,5.8476923076923075,0
enriched_ad_0090,campaign_026,Know Before You Go,,,,,image,,41452,699,37,463.11,0.01686287754511242,0.05293276108726753,0.6625321888412017,12.516486486486487,0
enriched_ad_0091,campaign_050,Know Before You Go,,,,,image,,57559,1016,63,978.71,0.017651453291405342,0.06200787401574803,0.9632972440944882,15.535079365079365,0
enriched_ad_0092,campaign_007,Trustone Financial,We inspire our members to achieve lifelong financial well-being.,,,,image,finance,98452,820,29,2530.27,0.008328931865274449,0.03536585365853658,3.0856951219512196,87.25068965517241,0
enriched_ad_0093,campaign_048,UNLOCKING THE POTENTIAL,IN ALL OF US LEARN MORE ABBOTT,,,,image,,73785,1187,107,875.55,0.016087280612590633,0.09014321819713564,0.7376158382476832,8.182710280373831,0
enriched_ad_0094,campaign_005,Get Tickets at Knicks.com,,Shop Now,,,image,entertainment,81522,2051,281,478.32,0.025158852825004293,0.1370063383715261,0.23321306679668455,1.70220640569395,1
enriched_ad_0095,campaign_025,El Dorado Hills Chamber of Commerce presents A Trip For An Adventure to Vietnam,"March 1 - 10, 2022
10 Days R/T Air, Meals, Tours
Hanoi
Ha Long Bay
Hoi An
HCM City",Click Here,,,image,travel,80766,1365,115,1250.5,0.01690067602704108,0.08424908424908426,0.9161172161172161,10.873913043478261,0
enriched_ad_0096,campaign_018,Media Campaign Manager by Narity,,Sign Up,,,image,ecommerce,68784,1112,95,1095.06,0.016166550360548964,0.08543165467625899,0.9847661870503597,11.526947368421052,0
enriched_ad_0097,campaign_019,Campaign Manager,Start your advertising locally with Narity Campaign Manager. Book now to get started.,Book Now,,,image,ecommerce,41915,619,45,486.12,0.014767982822378624,0.07269789983844911,0.7853311793214863,10.802666666666667,0
enriched_ad_0098,campaign_032,MumsNet Insight,Discover valuable insights and expert advice tailored for mums on MumsNet.,,,,image,ecommerce,20026,408,29,289.84,0.02037351443123939,0.07107843137254902,0.710392156862745,9.99448275862069,1
enriched_ad_0099,campaign_049,"CIERRA TOWING For all your towing needs, Call Cierra Towing & Crushing LLC","24 Hour Wrecker Service
806-381-2561
We're there when you need us the most!
AMARILLO CANYON",,,,image,ecommerce,25442,519,50,372.49,0.020399339674553887,0.09633911368015415,0.7177071290944124,7.4498,1
enriched_ad_0100,campaign_038,CIERRA TOWING,"For all your towing needs, Call Cierra Towing & Crushing. We're there when you need us the most! AMARILLO CANYON 806-381-2561",,,,image,ecommerce,98721,1742,170,1474.02,0.017645688354048276,0.09758897818599312,0.8461653272101033,8.67070588235294,0
enriched_ad_0101,campaign_045,Coulter Gardens & Nursery,,CLICK HERE,,,image,ecommerce,88377,950,78,998.89,0.010749403125247518,0.08210526315789474,1.0514631578947369,12.806282051282052,0
enriched_ad_0102,campaign_014,Handcrafted Wooden Chairs,"Discover our collection of handcrafted wooden chairs, perfect for any room. Each piece is meticulously crafted to ensure durability and beauty.",Shop Now,facebook,,image,ecommerce,43310,594,54,549.79,0.013715077349341954,0.09090909090909091,0.9255723905723905,10.181296296296296,0
enriched_ad_0103,campaign_045,Fowhand Furniture,We have it all - COASTAL LIVING. Discover our extensive collection of furniture designed for coastal living spaces.,,,,image,ecommerce,80429,1153,103,1345.95,0.01433562520981238,0.08933217692974849,1.1673460537727667,13.06747572815534,0
enriched_ad_0104,campaign_030,Blaise - Our Junior Weathercaster,"18 JUNIOR Alexander Mansfield Dealerships Click Here to learn more about why your child should be Blaise, our talented junior weathercaster.",Click Here,,,image,entertainment,43959,813,110,307.73,0.01849450624445506,0.13530135301353013,0.3785116851168512,2.7975454545454546,0
enriched_ad_0105,campaign_048,Tell us why your child should be our Junior,"Weathercaster and win them a tour of our studio, the opportunity to film a Junior Weathercaster segment for WETM 18 News at 5:30!",CLICK HERE,,,image,entertainment,23461,411,61,120.92,0.017518434849324412,0.14841849148418493,0.29420924574209245,1.9822950819672132,0
enriched_ad_0106,campaign_002,Official Partner - NASCAR Powered by AWS,"Every Race, Every Moment.",,,,image,entertainment,26123,538,94,180.87,0.020594878076790567,0.17472118959107807,0.3361895910780669,1.9241489361702129,1
enriched_ad_0107,campaign_003,Race! ION ANASCAR CUP Series Wari Most Popunar Driver Tockiar,,,,,image,ecommerce,56744,685,49,725.41,0.012071760891019315,0.07153284671532846,1.058992700729927,14.804285714285713,0
enriched_ad_0108,campaign_006,Awards & Recognition Programs,,SIGN UP,,,image,healthcare,92112,1658,78,1665.28,0.017999826298419317,0.047044632086851626,1.004390832328106,21.34974358974359,0
enriched_ad_0109,campaign_044,Programs Highlight the Accomplishments of Industry Leaders,,SIGN UP Modern Healthcare,,,image,healthcare,84378,1422,70,2057.24,0.01685273412500889,0.04922644163150492,1.4467229254571026,29.389142857142854,0
enriched_ad_0110,campaign_012,Awards & recognition programs,highlight the accomplishments of industry leaders.,SIGN UP Modern Healthcare,,,image,healthcare,40384,638,23,723.52,0.01579833597464342,0.03605015673981191,1.1340438871473355,31.457391304347826,0
enriched_ad_0111,campaign_044,Help Bring News Gray to Your Community? We're Hiring,Want to help bring the news gray to your community? we're hiring. BROWSE CURRENT JOB OPENINGS > We are a COVID Safe Workplace.,,,,image,ecommerce,68395,1346,124,1033.5,0.019679801155055195,0.09212481426448738,0.7678306092124815,8.334677419354838,0
enriched_ad_0112,campaign_025,North Star MOHICAN CASINO RESORT AUTUMNOBILE GIVEAWAYS,,WIN YOUR SHARE OF OVER IN PRIZES WHERE THE STARS ALIGN - CLICK TO PLAY,,,video,entertainment,40318,752,120,355.27,0.018651718835259685,0.1595744680851064,0.47243351063829786,2.960583333333333,0
