ad_id,headline_len,body_len,cta_len,headline_word_count,body_word_count,cta_word_count,headline_caps_ratio,body_caps_ratio,headline_has_numbers,body_has_numbers,headline_has_percent,body_has_percent,headline_urgency,body_urgency,headline_positive,body_positive,headline_exclamation,headline_question,body_exclamation,body_question,platform_encoded,ad_format_encoded,category_encoded,call_to_action_encoded,platform_facebook,platform_smart speakers,ad_format_image,category_automotive,category_ecommerce,"category_ecommerce, saas","category_ecommerce, saas, education, healthcare, finance, entertainment, travel, food, automotive, real_estate",category_education,category_entertainment,category_finance,category_healthcare,"category_healthcare, education",platform_instagram,platform_format_interaction,impressions,clicks,conversions,spend,ctr,cvr,cpc,cpa,revenue_efficiency,cost_per_thousand_impressions,engagement_score,headline_len_x_ctr,body_len_x_cvr,platform_format_interaction,total_urgency_score,urgency_level,high_performer
enriched_ad_0029_original,46,113,0,9,20,0,0.2222222222222222,0.05555555555555555,0,0,0,0,0,0,1,1,1,0,1,0,1,0,4,0,0,False,True,False,False,False,False,True,False,False,False,False,0,0,1181,24,1,71.95575171739176,0.0209926818639457,0.041666666666666664,2.9981563215579903,71.95575171739176,0.013897429686059401,60.92781686485332,0.029262275785034084,0.9656633657415021,4.708333333333333,0,0,0,0
enriched_ad_0030_original,49,58,0,7,7,0,0.3076923076923077,0.1875,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,False,True,False,False,False,False,True,False,False,False,False,0,0,1058,15,1,38.247134895737496,0.0145556117006344,0.06666666666666667,2.5498089930491665,38.247134895737496,0.02614574928882964,36.1504110545723,0.035400033687047305,0.7132249733310856,3.8666666666666667,0,0,0,0
enriched_ad_0031_original,44,0,0,6,0,0,0.15384615384615385,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,False,True,False,True,False,False,False,False,False,False,False,0,0,857,17,1,43.51920528195501,0.0198388842130575,0.058823529411764705,2.5599532518797066,43.51920528195501,0.022978360783960462,50.78086964055427,0.035432742292540384,0.87291090537453,0.0,0,0,0,0
enriched_ad_0032_original,26,0,0,6,0,0,0.05555555555555555,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,False,True,False,False,False,False,False,True,False,False,False,0,0,926,20,1,38.50513452574735,0.0224138305497035,0.05,1.9252567262873677,38.50513452574735,0.02597056242801403,41.582218710310315,0.0334482983298221,0.582759594292291,0.0,0,0,0,0
enriched_ad_0033_original,38,58,0,9,13,0,0.037037037037037035,0.35555555555555557,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,False,True,False,False,False,False,False,True,False,False,False,0,0,859,22,1,51.56363332458238,0.0259929791346191,0.045454545454545456,2.3438015147537445,51.56363332458238,0.019393513131730017,60.027512601376465,0.033777605662589645,0.9877332071155258,2.6363636363636362,0,0,0,0
enriched_ad_0034_original,10,168,0,2,29,0,0.2222222222222222,0.18840579710144928,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,False,True,False,True,False,False,False,False,False,False,False,0,0,1162,19,1,37.627788477949785,0.0171138346030694,0.05263157894736842,1.980409919892094,37.627788477949785,0.02657610347166719,32.38191779513751,0.03132093234078901,0.171138346030694,8.842105263157894,0,0,0,0
enriched_ad_0035_original,17,39,0,3,8,0,1.0,0.90625,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,False,True,False,False,False,False,False,False,False,False,False,0,0,1035,12,1,30.638001074902185,0.0123896671795287,0.08333333333333333,2.5531667562418487,30.638001074902185,0.03263920506939249,29.601933405702592,0.04076713364105055,0.21062434205198788,3.25,0,0,0,0
enriched_ad_0036_original,35,139,0,5,21,0,0.2413793103448276,0.12173913043478261,0,0,0,0,0,0,1,1,1,0,1,0,1,0,6,0,0,False,True,False,False,False,False,False,False,True,False,False,0,0,1038,14,1,34.86008301921328,0.0136565239814337,0.07142857142857142,2.4900059299438055,34.86008301921328,0.028686104948426137,33.58389500887599,0.03676534296028879,0.4779783393501795,9.928571428571429,0,0,0,0
enriched_ad_0037_original,11,86,0,2,16,0,0.2,0.11428571428571428,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,False,True,False,False,False,False,True,False,False,False,False,0,0,915,17,1,33.74449687608334,0.0196038666937064,0.058823529411764705,1.9849704044754906,33.74449687608334,0.02963446169229322,36.87923155856103,0.03529173178092972,0.21564253363077038,5.0588235294117645,0,0,0,0
enriched_ad_0038_original,5,48,0,1,8,0,0.2,0.07894736842105263,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,False,True,False,True,False,False,False,False,False,False,False,0,0,930,15,1,24.292322238167973,0.016281482335312,0.06666666666666667,1.619488149211198,24.292322238167973,0.04116526984105311,26.120776600180616,0.03643555606785387,0.08140741167656,3.2,0,0,0,0
enriched_ad_0039_original,10,227,0,2,43,0,0.2222222222222222,0.045714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,False,True,False,True,False,False,False,False,False,False,False,0,0,1039,13,1,35.76463410390588,0.0134203548847644,0.07692307692307693,2.751125700300452,35.76463410390588,0.02796058243164829,34.42216949365339,0.038821443700089414,0.134203548847644,17.461538461538463,0,0,0,0
enriched_ad_0040_original,30,128,0,6,21,0,1.0,0.6309523809523809,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,False,True,False,True,False,False,False,False,False,False,False,0,0,1067,18,1,28.922590143114306,0.0168959744564795,0.05555555555555555,1.6068105635063503,28.922590143114306,0.0345750499886703,27.106457491203663,0.03235980689610993,0.506879233694385,7.111111111111111,0,1,1,0
enriched_ad_0041_original,18,0,0,3,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,False,True,False,False,False,False,False,True,False,False,False,0,0,935,23,1,41.978828898708784,0.0249383482223056,0.043478260869565216,1.8251664738569036,41.978828898708784,0.023821531620448772,44.897143207175176,0.03235431328120945,0.4488902680015008,0.0,0,0,0,0
enriched_ad_0042_original,15,163,0,2,30,0,1.0,0.6721311475409836,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,False,True,False,True,False,False,False,False,False,False,False,0,0,1154,20,1,30.49882699999829,0.0179766303805053,0.05,1.5249413499999145,30.49882699999829,0.03278814624575745,26.428792894279283,0.030785978228303184,0.26964945570757953,8.15,0,0,0,0
enriched_ad_0043_original,18,0,0,5,0,0,0.7272727272727273,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,False,True,False,True,False,False,False,False,False,False,False,0,0,860,17,1,37.23793504486301,0.0201491033649002,0.058823529411764705,2.190466767344883,37.23793504486301,0.026854335472555977,43.29992447077094,0.035618873783646005,0.36268386056820356,0.0,0,0,0,0
enriched_ad_0044_original,69,0,0,11,0,0,0.1896551724137931,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,False,True,False,True,False,False,False,False,False,False,False,0,0,836,17,1,40.397695622041354,0.0215133827068568,0.058823529411764705,2.376335036590668,40.397695622041354,0.02475388718594114,48.32260241870976,0.03643744138881996,1.4844234067731192,0.0,0,0,0,0
enriched_ad_0045_original,52,82,0,7,14,0,0.13333333333333333,0.07575757575757576,0,0,0,0,0,1,0,0,0,0,0,1,1,0,7,0,0,False,True,False,False,False,False,False,False,False,True,False,0,0,1117,17,1,26.202431926095876,0.0155769365826251,0.058823529411764705,1.5413195250644633,26.202431926095876,0.03816439645069993,23.4578620645442,0.032875573714280945,0.8100007022965052,4.823529411764706,0,1,1,0
enriched_ad_0046_original,30,43,0,5,8,0,0.13043478260869565,0.05714285714285714,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,False,True,False,False,False,False,True,False,False,False,False,0,0,985,17,1,32.62894718267829,0.017971196848886,0.058823529411764705,1.9193498342751933,32.62894718267829,0.030647633048082823,33.125834703226694,0.034312129874037485,0.5391359054665801,2.5294117647058822,0,0,0,0
enriched_ad_0047_original,44,109,0,6,17,0,1.0,0.19230769230769232,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,False,True,False,True,False,False,False,False,False,False,False,0,0,974,10,1,23.657483736426705,0.0108838294415397,0.1,2.3657483736426705,23.657483736426705,0.04226992232737947,24.28899767600278,0.04653029766492383,0.4788884954277468,10.9,0,0,0,0
enriched_ad_0048_original,29,247,0,5,36,0,0.4166666666666667,0.18226600985221675,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,False,True,False,False,True,False,False,False,False,False,False,0,0,1033,14,1,23.603417561192106,0.0136807817589576,0.07142857142857142,1.6859583972280077,23.603417561192106,0.04236674614629384,22.849387764948798,0.03677989762680313,0.3967426710097704,17.642857142857142,0,0,0,0
enriched_ad_0049_original,21,101,0,4,14,0,0.16666666666666666,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,False,True,False,False,False,False,False,False,True,False,False,0,0,1190,14,1,28.759286077369296,0.0123044946739412,0.07142857142857142,2.0542347198120927,28.759286077369296,0.03477137774942545,24.167467291906974,0.03595412537579329,0.2583943881527652,7.2142857142857135,0,0,0,0
enriched_ad_0050_original,17,120,0,2,18,0,0.125,0.12048192771084337,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,False,True,False,True,False,False,False,False,False,False,False,0,0,834,17,1,33.98172690486665,0.0207398308688052,0.058823529411764705,1.9989251120509792,33.98172690486665,0.029427580381642886,40.74547590511588,0.035973310285989005,0.3525771247696884,7.0588235294117645,0,0,0,0
enriched_ad_0001_improved,45,184,0,7,30,0,0.15789473684210525,0.11029411764705882,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,False,True,False,True,False,False,False,False,False,False,False,0,0,1194,26,1,42.506848755067914,0.022597352312035517,0.038461538461538464,2.024135655003234,42.506848755067914,0.02352562067732142,35.60037584176543,0.028943026771836695,1.0168808540415983,7.0769230769230775,0,0,0,0
enriched_ad_0002_improved,40,89,0,8,16,0,0.1724137931034483,0.028985507246376812,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,False,True,False,True,False,False,False,False,False,False,False,0,0,995,20,1,34.66554198698995,0.020572982328326855,0.05,2.0391495286464676,34.66554198698995,0.028847089723140693,34.83974069044216,0.032343789396996114,0.8229192931330742,4.45,0,1,1,0
enriched_ad_0003_improved,49,137,0,9,23,0,0.15,0.14423076923076922,0,1,0,0,0,1,0,1,0,0,0,0,1,0,5,0,0,False,True,False,False,False,False,False,True,False,False,False,0,0,1073,31,1,70.15108376243087,0.029790034448525536,0.03225806451612903,2.806043350497235,70.15108376243087,0.01425494727047319,65.37845644215365,0.030777246475566934,1.4597116879777512,4.419354838709677,0,1,1,0
enriched_ad_0004_improved,47,159,0,7,21,0,0.1794871794871795,0.03787878787878788,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,False,True,False,True,False,False,False,False,False,False,False,0,0,1059,17,1,31.82351197809082,0.01795101117643203,0.058823529411764705,2.2731079984350586,31.82351197809082,0.03142330741775009,30.050530668641002,0.0343000184705651,0.8436975252923055,9.352941176470589,0,1,1,0
enriched_ad_0005_improved,54,230,0,8,32,0,0.15217391304347827,0.038461538461538464,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,False,True,False,True,False,False,False,False,False,False,False,0,0,1129,18,1,26.273406090622107,0.016512136833738558,0.05555555555555555,1.6420878806638817,26.273406090622107,0.038061300333531355,23.271396005865462,0.032129504322465356,0.8916553890218821,12.777777777777777,0,1,1,0
enriched_ad_0006_improved,45,117,0,6,17,0,0.15789473684210525,0.02040816326530612,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,False,True,False,False,False,False,False,False,False,True,False,0,0,857,14,1,23.039113264058223,0.017366403015496266,0.07142857142857142,2.094464842187111,23.039113264058223,0.04340444827622915,26.883446049076106,0.038991270380726334,0.781488135697332,8.357142857142856,0,0,0,0
enriched_ad_0007_improved,39,160,0,5,21,0,0.14285714285714285,0.022222222222222223,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,False,True,False,True,False,False,False,False,False,False,False,0,0,1151,14,1,19.514659285828976,0.012481714216132986,0.07142857142857142,1.6262216071524147,19.514659285828976,0.05124352853683555,16.954525878218053,0.03606045710110836,0.48678685442918646,11.428571428571427,0,0,0,0
enriched_ad_0008_improved,49,153,0,7,20,0,0.16279069767441862,0.0234375,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,False,True,False,True,False,False,False,False,False,False,False,0,0,1060,18,1,40.3041961530641,0.01841299316902961,0.05555555555555555,2.686946410204273,40.3041961530641,0.024811312355722936,38.02282655949443,0.033270018123639986,0.9022366652824508,8.5,0,0,0,0
enriched_ad_0009_improved,43,162,0,7,22,0,0.16666666666666666,0.014705882352941176,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,True,True,False,True,False,False,False,False,False,False,False,0,0,864,12,1,21.02794134694637,0.01595582732352923,0.08333333333333333,2.102794134694637,21.02794134694637,0.047555772745448414,24.337895077484227,0.04290682972745087,0.6861005749117569,13.5,0,0,0,0
enriched_ad_0010_improved,52,215,0,7,36,0,0.13043478260869565,0.0903954802259887,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8,0,0,False,True,False,False,False,False,False,False,False,False,True,0,0,993,14,1,31.892013360623714,0.01596129063090254,0.07142857142857142,2.453231796971055,31.892013360623714,0.031355812776457555,32.11683117887584,0.038148202949970095,0.8299871128069322,15.357142857142856,0,1,1,0
enriched_ad_0011_improved,45,130,0,9,18,0,0.18181818181818182,0.02830188679245283,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,False,True,False,True,False,False,False,False,False,False,False,0,0,866,12,1,24.51327188128549,0.015788332916770485,0.08333333333333333,2.451327188128549,24.51327188128549,0.04079422791224553,28.306318569613733,0.042806333083395626,0.7104749812546718,10.833333333333332,0,0,0,0
enriched_ad_0012_improved,55,185,0,8,27,0,0.15217391304347827,0.15286624203821655,0,0,0,0,0,0,1,1,0,0,0,0,1,0,7,0,0,False,True,False,False,False,False,False,False,False,True,False,0,0,832,17,1,27.536251406400176,0.022079503058157684,0.058823529411764705,1.8357500937600117,27.536251406400176,0.03631576372692373,33.0964560173079,0.036777113599600494,1.2143726681986726,10.882352941176471,0,0,0,0
enriched_ad_0013_improved,51,110,0,7,16,0,0.13636363636363635,0.20212765957446807,0,0,0,0,1,0,0,1,0,0,0,1,1,0,7,0,0,False,True,False,False,False,False,False,False,False,True,False,0,0,805,12,1,27.909680384421605,0.016629898738559124,0.08333333333333333,2.537243671311055,27.909680384421605,0.035829862120462394,34.67041041543057,0.04331127257646881,0.8481248356665153,9.166666666666666,0,1,1,0
enriched_ad_0014_improved,48,128,0,9,21,0,0.2,0.019230769230769232,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,False,True,True,False,False,False,False,False,False,False,False,0,0,1078,13,1,25.191693232893773,0.013062309605331926,0.07692307692307693,2.0993077694078144,25.191693232893773,0.03969562469482048,23.368917655745612,0.03860661653242993,0.6269908610559325,9.846153846153847,0,2,2,0
enriched_ad_0015_improved,29,98,0,6,18,0,0.20833333333333334,0.07792207792207792,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,False,True,True,False,False,False,False,False,False,False,False,0,0,1089,16,1,37.26647150417284,0.015440143074878775,0.0625,2.6618908217266317,37.26647150417284,0.026833772011069706,34.22081864478682,0.03426408584492727,0.4477641491714845,6.125,0,2,2,0
enriched_ad_0016_improved,50,216,0,8,31,0,0.14285714285714285,0.033707865168539325,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,False,True,False,False,False,False,False,True,False,False,False,0,0,833,25,1,47.55644142040024,0.031047916354644597,0.04,2.067671366104358,47.55644142040024,0.021027645680213383,57.09056593085263,0.034628749812786755,1.55239581773223,8.64,0,1,1,0
